,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-11-09,1059695.7791256595,1141186.445736301,1150779.7335014262,1107348.8946177433,1148907.8478971524,1106955.2988685947,1145563.266826845,1017354.1879234241,1105187.7595174522,1123391.732158594,1001857.9247706225,1308021.95462226,1090753.8861962839,1125240.2054273528,1091385.00715347,1143800.8383739654,1140534.0476920893,1040534.0588478323,1002960.1012081852,1145191.409586048,1103823.8791729014,1059695.7791256595,994282.2852850172,1013151.2966582248
2022-11-10,1055030.887960287,1136211.5538990083,1145722.8820989484,1103833.8826085203,1144835.1815474196,1104055.8250804965,1140780.5741186999,1012987.8972350777,1093926.45475399,1121038.0463492558,1001322.7705066572,1303033.0917762502,1083016.3770982195,1120906.9151980763,1086760.5920561184,1138684.1857242137,1137285.4298381729,1040794.120799063,999442.0220303874,1140615.5956642672,1100608.409941243,1055030.887960287,994530.7874738561,1008849.4821415627
2022-11-11,1072801.8858069407,1154724.6010253152,1164215.1840157167,1117184.7768813898,1162592.9568962497,1116830.4685222094,1158924.069833561,1021496.9285234419,1095062.9808966033,1133021.619923175,1001425.7245642595,1309448.0018798537,1102329.9957803865,1136710.0819556245,1101694.7696374878,1155647.9680971943,1152821.4698935444,1041054.2477478952,1010072.7032880117,1158244.948350843,1113293.6402062757,1072801.8858069407,994779.3517711513,1017305.4464193421
2022-11-14,1066490.170264552,1147071.44058046,1156281.119804303,1111519.720949291,1153413.5195954638,1110251.7196094657,1150805.5879157665,1016172.9106202144,1069879.9371108324,1121222.8210487776,1002310.0252393408,1294375.9131633744,1101095.556493383,1129136.7724151546,1093760.8426555532,1148462.137199337,1145249.9647299508,1041314.439710574,1005138.6772362108,1149685.7526549262,1107172.5409655592,1066490.170264552,993683.2814228961,1012193.8137737563
2022-11-15,1070164.589513124,1152053.6127448725,1161333.1167117562,1115242.3124708273,1156873.9166448535,1112771.8530549472,1155763.2936820933,1020654.6961177858,1067117.20735741,1124012.8245001251,1004168.3043259062,1304947.748712631,1105556.011196807,1133735.8835404832,1097919.1619554143,1152712.5591912186,1150646.6861838736,1041574.6967033485,1007920.4383987972,1154350.534182908,1110605.318371905,1070164.589513124,997779.1518384283,1016315.4912450239
2022-11-16,1072234.479570075,1155650.198660963,1164908.6583839043,1117907.5598755335,1161092.8368527738,1115855.625980105,1159467.5064607125,1023065.3093048256,1065140.5033561273,1128490.913115382,1004074.440277245,1308417.2322382298,1105931.470346927,1136827.7010798468,1100473.6755751227,1155712.59807957,1154384.1433401052,1041835.0187424727,1008229.8386049324,1158092.8094866879,1113364.1899235372,1072234.479570075,1000100.3354174678,1018705.4703386959
2022-11-17,1073220.7143360237,1155333.905074185,1164610.8454618996,1117714.745271631,1160347.5837288424,1115414.0359152833,1159148.6624647968,1023616.8767975122,1064973.3541678968,1127424.75509024,1004177.1561841279,1313847.2107043448,1101981.6400876655,1136712.855328485,1100388.822610971,1155047.386515764,1154783.3401961362,1042095.4058442025,1006827.5024102409,1157547.0614302317,1113044.4748345918,1073220.7143360237,999549.1651198094,1019335.406294328
2022-11-18,1072743.3805565033,1154614.73369399,1163947.3536378143,1117320.6020587285,1158886.3121456462,1114418.0506641853,1158350.1893907636,1022006.1844823052,1056342.7415124835,1124826.5993756684,1003593.6552777815,1308139.2601630157,1099803.9770169703,1135877.564659132,1099832.2184043927,1154770.493336636,1153106.221234108,1042355.8580247987,1006732.7891452889,1156664.987603388,1112468.307315197,1072743.3805565033,999798.9836663734,1018623.6746405062
2022-11-21,1067472.2711252521,1147208.7808234605,1156471.5398491907,1112050.8039663585,1152514.8598209315,1109911.2405542075,1151098.6010077775,1015096.0670156557,1048637.7250468463,1120765.0052651102,1002644.2140721953,1308502.1765100942,1090931.0559827466,1129292.5917096992,1093642.141234186,1147982.402526228,1146320.6279181635,1042616.3753005282,999018.3080049079,1149806.5389308673,1107639.5035919228,1067472.2711252521,1000048.8646503927,1012665.5874570957
2022-11-22,1070909.0905880588,1152704.3304980383,1161961.2415615974,1116054.7537747934,1158302.926924017,1114153.502704635,1156589.6121481063,1019403.8520770323,1056080.7235953847,1126301.1885718224,1003494.0540440982,1311869.611086969,1095992.2453263628,1134117.0484150148,1098622.3968664375,1152620.8728631989,1151160.577840038,1042876.9576876586,999365.5251606425,1155279.2552268368,1111636.609920787,1070909.0905880588,1000298.8080874725,1015960.3736545086
2022-11-23,1071348.29564638,1152977.2049912296,1162338.9934878682,1116402.0273220625,1157320.2218769924,1113508.645736086,1156849.9017101722,1019947.8278491772,1054100.7847234714,1124019.584854437,1003408.7540744159,1312247.0424126065,1097376.985604399,1134557.6805200712,1098662.477712159,1153289.305896161,1151791.7034371712,1043137.6052024647,998574.8678353295,1155222.8101486717,1111661.5948732127,1071348.29564638,1000548.813993221,1016882.1963075222
2022-11-24,1079328.5568955622,1168070.8595375034,1177453.9102218987,1127355.0444409095,1172359.794253952,1124350.7677200246,1171903.4560041456,1031505.8928249214,1057542.9673017608,1137498.595689935,1004492.3543244208,1322692.1145512317,1110403.8928107615,1147417.0028095841,1111286.77910454,1166355.8500819467,1164672.640750039,1043398.3178612229,1007597.530511857,1170139.0120178398,1122435.1590502583,1079328.5568955622,1000798.8823832519,1028042.6041763409
2022-11-25,1079265.925833993,1168344.6144425995,1177678.5588846782,1127539.7880825535,1172240.1900897813,1124348.6542658166,1171873.332292126,1032131.3356666721,1056077.978978516,1136165.741483464,1005907.8561296182,1319999.4562133932,1112125.0210211081,1147424.7416113047,1111560.6209733968,1165996.2124915028,1164767.3811004104,1043659.0956802152,1007285.3403932165,1170116.4819141102,1122478.8017994736,1079265.925833993,999702.705205503,1027306.9409193363
2022-11-28,1078592.9790548861,1169485.2155797156,1179032.290584343,1128519.2485412126,1171593.0930072488,1123955.9474099907,1172832.3601669082,1033502.6378159953,1053707.5301163902,1134650.1105457167,1005902.1917270645,1316840.7711791522,1115128.6942220672,1148571.256987653,1112420.895267222,1167047.4525652323,1166304.4759165333,1043919.938675727,1005168.2384550222,1170893.377623187,1123091.5514871203,1078592.9790548861,1001035.733490389,1028985.5002031863
